MEASURE,REGION_TYPE,ASGS_2021,FREQ,TIME_PERIOD,value
ERP,SA2,109031181,A,2024,7575
ERP,SA2,109031181,A,2025,7654
ERP,SA2,111011208,A,2016,24724
ERP,SA2,111011208,A,2017,24820
ERP,SA2,111011208,A,2018,24929
ERP,SA2,111011208,A,2019,25053
ERP,SA2,111011208,A,2020,25206
ERP,SA2,111011208,A,2021,25365
ERP,SA2,111011208,A,2022,25548
ERP,SA2,111011208,A,2023,25783
ERP,SA2,111011208,A,2024,25971
ERP,SA2,111011208,A,2025,26087
ERP,SA2,111031223,A,2016,8543
ERP,SA2,111031223,A,2017,8573
ERP,SA2,111031223,A,2018,8607
ERP,SA2,111031223,A,2019,8644
ERP,SA2,111031223,A,2020,8623
ERP,SA2,111031223,A,2021,8612
ERP,SA2,111031223,A,2022,8662
ERP,SA2,111031223,A,2023,8640
ERP,SA2,111031223,A,2024,8678
ERP,SA2,111031223,A,2025,8732
ERP,SA2,111031227,A,2016,15357
ERP,SA2,111031227,A,2017,15421
ERP,SA2,111031227,A,2018,15495
ERP,SA2,111031227,A,2019,15550
ERP,SA2,111031227,A,2020,15575
ERP,SA2,111031227,A,2021,15598
ERP,SA2,111031227,A,2022,15705
ERP,SA2,111031227,A,2023,15842
ERP,SA2,111031227,A,2024,15991
ERP,SA2,111031227,A,2025,16026
ERP,SA2,112011242,A,2016,8088
ERP,SA2,112011242,A,2017,8275
ERP,SA2,112011242,A,2018,8525
ERP,SA2,112011242,A,2019,8728
ERP,SA2,112011242,A,2020,9016
ERP,SA2,112011242,A,2021,9207
ERP,SA2,112011242,A,2022,9422
ERP,SA2,112011242,A,2023,9677
ERP,SA2,112011242,A,2024,9995
ERP,SA2,112011242,A,2025,10282
ERP,SA2,112031552,A,2016,8302
ERP,SA2,112031552,A,2017,8321
ERP,SA2,112031552,A,2018,8324
ERP,SA2,112031552,A,2019,8367
ERP,SA2,112031552,A,2020,8422
ERP,SA2,112031552,A,2021,8416
ERP,SA2,112031552,A,2022,8480
ERP,SA2,112031552,A,2023,8539
ERP,SA2,112031552,A,2024,8621
ERP,SA2,112031552,A,2025,8637
ERP,SA2,113031268,A,2016,4542
ERP,SA2,113031268,A,2017,4734
ERP,SA2,113031268,A,2018,4944
ERP,SA2,113031268,A,2019,5182
ERP,SA2,113031268,A,2020,5369
ERP,SA2,113031268,A,2021,5612
ERP,SA2,113031268,A,2022,5810
ERP,SA2,113031268,A,2023,5967
ERP,SA2,113031268,A,2024,6119
ERP,SA2,113031268,A,2025,6227
ERP,SA2,114011283,A,2016,5128
ERP,SA2,114011283,A,2017,5240
ERP,SA2,114011283,A,2018,5358
ERP,SA2,114011283,A,2019,5485
ERP,SA2,114011283,A,2020,5639
ERP,SA2,114011283,A,2021,5791
ERP,SA2,114011283,A,2022,5859
ERP,SA2,114011283,A,2023,5879
ERP,SA2,114011283,A,2024,5965
ERP,SA2,114011283,A,2025,6047
ERP,SA2,115011296,A,2016,13184
ERP,SA2,115011296,A,2017,13159
ERP,SA2,115011296,A,2018,13082
ERP,SA2,115011296,A,2019,12981
ERP,SA2,115011296,A,2020,12894
ERP,SA2,115011296,A,2021,12701
ERP,SA2,115011296,A,2022,12409
ERP,SA2,115011296,A,2023,12515
ERP,SA2,115011296,A,2024,12523
ERP,SA2,115011296,A,2025,12534
ERP,SA2,115041623,A,2016,1493
ERP,SA2,115041623,A,2017,1501
ERP,SA2,115041623,A,2018,1647
ERP,SA2,115041623,A,2019,4247
ERP,SA2,115041623,A,2020,6910
ERP,SA2,115041623,A,2021,10349
ERP,SA2,115041623,A,2022,14547
ERP,SA2,115041623,A,2023,18392
ERP,SA2,115041623,A,2024,22437
ERP,SA2,115041623,A,2025,26348
ERP,SA2,116031319,A,2016,21876
ERP,SA2,116031319,A,2017,22264
ERP,SA2,116031319,A,2018,22614
ERP,SA2,116031319,A,2019,22946
ERP,SA2,116031319,A,2020,23120
ERP,SA2,116031319,A,2021,22990
ERP,SA2,116031319,A,2022,22872
ERP,SA2,116031319,A,2023,23166
ERP,SA2,116031319,A,2024,23248
ERP,SA2,116031319,A,2025,23226
ERP,SA2,117031638,A,2016,10422
ERP,SA2,117031638,A,2017,10475
ERP,SA2,117031638,A,2018,10385
ERP,SA2,117031638,A,2019,10121
ERP,SA2,117031638,A,2020,9551
ERP,SA2,117031638,A,2021,8442
ERP,SA2,117031638,A,2022,8521
ERP,SA2,117031638,A,2023,9495
ERP,SA2,117031638,A,2024,9643
ERP,SA2,117031638,A,2025,9776
ERP,SA2,118011344,A,2016,11522
ERP,SA2,118011344,A,2017,11555
ERP,SA2,118011344,A,2018,11566
ERP,SA2,118011344,A,2019,11547
ERP,SA2,118011344,A,2020,11443
ERP,SA2,118011344,A,2021,11190
ERP,SA2,118011344,A,2022,11130
ERP,SA2,118011344,A,2023,11306
ERP,SA2,118011344,A,2024,11436
ERP,SA2,118011344,A,2025,11520
ERP,SA2,118021654,A,2016,5908
ERP,SA2,118021654,A,2017,5920
ERP,SA2,118021654,A,2018,5910
ERP,SA2,118021654,A,2019,5911
ERP,SA2,118021654,A,2020,5825
ERP,SA2,118021654,A,2021,5636
ERP,SA2,118021654,A,2022,5649
ERP,SA2,118021654,A,2023,5741
ERP,SA2,118021654,A,2024,5759
ERP,SA2,118021654,A,2025,5741
ERP,SA2,119011355,A,2016,942
ERP,SA2,119011355,A,2017,1132
ERP,SA2,119011355,A,2018,1252
ERP,SA2,119011355,A,2019,1360
ERP,SA2,119011355,A,2020,1466
ERP,SA2,119011355,A,2021,1482
ERP,SA2,119011355,A,2022,1449
ERP,SA2,119011355,A,2023,1490
ERP,SA2,119011355,A,2024,1506
ERP,SA2,119011355,A,2025,1524
ERP,SA2,119021659,A,2016,12822
ERP,SA2,119021659,A,2017,12985
ERP,SA2,119021659,A,2018,12865
ERP,SA2,119021659,A,2019,12690
ERP,SA2,119021659,A,2020,12518
ERP,SA2,119021659,A,2021,11943
ERP,SA2,119021659,A,2022,11831
ERP,SA2,119021659,A,2023,12430
ERP,SA2,119021659,A,2024,12545
ERP,SA2,119021659,A,2025,12771
ERP,SA2,120011386,A,2016,21456
ERP,SA2,120011386,A,2017,21444
ERP,SA2,120011386,A,2018,21386
ERP,SA2,120011386,A,2019,21494
ERP,SA2,120011386,A,2020,21376
ERP,SA2,120011386,A,2021,21003
ERP,SA2,120011386,A,2022,20876
ERP,SA2,120011386,A,2023,21213
ERP,SA2,120011386,A,2024,21421
ERP,SA2,120011386,A,2025,21449
ERP,SA2,120031678,A,2016,14290
ERP,SA2,120031678,A,2017,14696
ERP,SA2,120031678,A,2018,14937
ERP,SA2,120031678,A,2019,15361
ERP,SA2,120031678,A,2020,15790
ERP,SA2,120031678,A,2021,16071
ERP,SA2,120031678,A,2022,16571
ERP,SA2,120031678,A,2023,17522
ERP,SA2,120031678,A,2024,18172
ERP,SA2,120031678,A,2025,18684
ERP,SA2,122011419,A,2016,23655
ERP,SA2,122011419,A,2017,23736
ERP,SA2,122011419,A,2018,23709
ERP,SA2,122011419,A,2019,23694
ERP,SA2,122011419,A,2020,23531
ERP,SA2,122011419,A,2021,22732
ERP,SA2,122011419,A,2022,22851
ERP,SA2,122011419,A,2023,23716
ERP,SA2,122011419,A,2024,24319
ERP,SA2,122011419,A,2025,24569
ERP,SA2,122031695,A,2016,16969
ERP,SA2,122031695,A,2017,17341
ERP,SA2,122031695,A,2018,17602
ERP,SA2,122031695,A,2019,17961
ERP,SA2,122031695,A,2020,18044
ERP,SA2,122031695,A,2021,17921
ERP,SA2,122031695,A,2022,18092
ERP,SA2,122031695,A,2023,18608
ERP,SA2,122031695,A,2024,19048
ERP,SA2,122031695,A,2025,19332
ERP,SA2,124011453,A,2016,11514
ERP,SA2,124011453,A,2017,11532
ERP,SA2,124011453,A,2018,11541
ERP,SA2,124011453,A,2019,11540
ERP,SA2,124011453,A,2020,11536
ERP,SA2,124011453,A,2021,11481
ERP,SA2,124011453,A,2022,11525
ERP,SA2,124011453,A,2023,11533
ERP,SA2,124011453,A,2024,11531
ERP,SA2,124011453,A,2025,11536
ERP,SA2,124041466,A,2016,14204
ERP,SA2,124041466,A,2017,14354
ERP,SA2,124041466,A,2018,14594
ERP,SA2,124041466,A,2019,14775
ERP,SA2,124041466,A,2020,15045
ERP,SA2,124041466,A,2021,15312
ERP,SA2,124041466,A,2022,15550
ERP,SA2,124041466,A,2023,15908
ERP,SA2,124041466,A,2024,16335
ERP,SA2,124041466,A,2025,16743
ERP,SA2,125011709,A,2016,10416
ERP,SA2,125011709,A,2017,10502
ERP,SA2,125011709,A,2018,10429
ERP,SA2,125011709,A,2019,10192
ERP,SA2,125011709,A,2020,9924
ERP,SA2,125011709,A,2021,9341
ERP,SA2,125011709,A,2022,9102
ERP,SA2,125011709,A,2023,9029
ERP,SA2,125011709,A,2024,9298
ERP,SA2,125011709,A,2025,9305
ERP,SA2,125021478,A,2016,18454
ERP,SA2,125021478,A,2017,18702
ERP,SA2,125021478,A,2018,18993
ERP,SA2,125021478,A,2019,19178
ERP,SA2,125021478,A,2020,19019
ERP,SA2,125021478,A,2021,18563
ERP,SA2,125021478,A,2022,18653
ERP,SA2,125021478,A,2023,19043
ERP,SA2,125021478,A,2024,19277
ERP,SA2,125021478,A,2025,19493
ERP,SA2,125041490,A,2016,8179
ERP,SA2,125041490,A,2017,8258
ERP,SA2,125041490,A,2018,8293
ERP,SA2,125041490,A,2019,8397
